,content
0,【#工信部下架106款APP#】工信部今日通报称，11月3日针对APP超范围、高频次索取权限，非服务场景所必需收集用户个人信息，欺骗误导用户下载等违规行为进行了检查，并对未按要求完成整改的APP进行了公开通报。截至目前，尚有5款APP未按工信部要求完成整改；各通信管理局积极开展APP技术检测，截至目前尚 ...全文
1,八九十年代，我家乡丢孩子的事件经常发生。对于人贩子和买方，我提几个观点：1、人贩子该枪毙，不仅破坏一个家庭，让亲生父母永远陷于沉痛之中，即使后来找到了孩子，两个家庭及孩子，均受到精神和内心深处的折磨。枪毙一个人贩子，才足以产生震慑，避免下一个孩子被拐卖。2、对于买家，不能用“养父 ...全文
2,#成长中父母缺席对亲子关系有何影响#在成长的过程中，孩子的安全感很容易建立也很容易被打破。#大湾仔的夜#节目中@謝天華Laughing的女儿因久未见父亲，即便父亲如何哄也在生闷气甚至对父亲态度冷漠；面对七个月没回家谢天华，女儿的冷漠从某种程度上是可以理解的，很明显是对父亲这段时间的缺席感到 ...全文
3,#驻日使馆回应99名日本议员参拜靖国神社#【驻日使馆：#日本始终存在试图掩盖侵略罪行的逆流#】今天，日本99名议员集体参拜靖国神社，包括数名副大臣。对此，中国驻日本使馆发言人表示：靖国神社是日本军国主义对外发动侵略战争的精神工具和重要象征，至今仍供奉对那场侵略战争负有严重罪责的甲级战犯。 ...全文
4,#孙海洋今日携子返湖北监利认亲#昨日，孙海洋携子孙卓返湖北监利认亲，众多失踪孩子的家长前来探望孙卓，他们也期望着自己的孩子早日回家。楚天交通广播的微博视频
5,颜色有深有浅，号牌不清晰被处罚，大车司机情绪激动蜀黍都笑岔了的微博视频
6,#苏醒追光吧哥哥#谢谢哥哥们给我这段C位 让中年老Rapper有一个嚎叫的机会?追光吧哥哥胖头盟主的微博视频
7,"#生活##妈妈的爱#宝宝被鞭炮声吓哭，妈妈自责没法捂住三个孩子耳朵 , 别说孩子了 在毫无防备的情况下猛的一来大人也吓一跳……Syliva今天也是元气满满的亿天的微博视频"
8,#濮阳这条公交恢复原线行驶#铁丘路已经完成道路整修，符合安全通行条件，自12月7日开始，以下线路恢复原路线行驶。38路：濮上路—铁丘路—工业路濮阳市众意公共交通有限公司2021年12月6日
9,@彭高唱不仅演技好而且超级刻苦。她临开拍两天接到通知，到剧组报道当天是除夕夜，第一天拍摄就连拍25个小时，真的是非常敬业的好演员。其实包括李薇、詹璐在内的几个角色，因为议题尖锐、拍摄尺度大，前期沟通时好几位演员看到剧本考虑到自身情况都拒绝了我们。彭高唱敢演、敢拍，最后她的李薇引起了 ...全文
10,【#警方通报河南一女生遭多人欺凌#】12月8日，河南省封丘县公安局发布通报：近日，封丘县发生一起未成年人被欺凌案件，受害人于11月26日报警后，我局王村派出所会同刑侦大队迅速组织警力进行调查，并于12月6日将涉案违法行为人刘某（女，14岁）等6人全部予以行政拘留处罚，并责令其监护人严加管教。目 ...全文
11,【转发抽奖！围观#中国航天员开直播#】今天，#天宫课堂开课#。你最想问航天员什么问题？太空地理课、太空美(吃)食(播)课、太空物理课…@央视新闻6小时不间断直播，全程见证中国空间站首次太空授课！转发本条微博↓抽100人送神舟十三号载人飞行任务臂章和太空食品！别错过！#太空餐包开箱#...全文
12,【#中山这个网红打卡点暂停开放#】12月3日，2021中国（中山）花木产业大会在美丽的西江边，正式拉开大幕各具特色的花境展园，吸引了众多游客前往“打卡”但是，注意了！即日起，大会会场及南方花境展等区域将实施闭园管理别跑空啦！来源：横栏发布
13,【#贵州遵义发现10万年前大熊猫化石#】据新华社12月8日消息，记者近日从贵州科学院山地资源研究所了解到，贵州省遵义市绥阳县双河洞发现大熊猫化石，最早距今10万年以上。据了解，双河洞位于遵义市绥阳县温泉镇，目前已探明长度超过300公里，是白云岩洞穴，内部结构复杂，水洞、旱洞并存，70多个洞 ...全文
14,#美国民主幌子背后的真相#【#56年间81%的武装冲突由美国发起#】战火中的平民说：“他们去往任何一个国家，除了把痛苦带到每个家庭，没有任何其他作为。”据不完全统计，自1945年二战结束至2001年，世界上153个地区发生的248次武装冲突中，由美国发起的为201场，约占81%。美国所谓的“为正义而战”，不 ...全文
15,【迟到的正义！#贵阳一逃亡27年凶杀嫌犯落网#】最近，贵阳市乌当区刑侦大队的民警破获了一起凶杀案，将犯罪嫌疑人强某某从广东抓捕归案，这名逃亡省外27年的犯罪嫌疑人终于落入法网。民警介绍，1997年10月31日，贵阳市羊场镇发生一起杀人案，死者是一名男性，头部多处受伤，最严重的伤是喉部被菜刀砍 ...全文
16,#新青年为什么留在济南#你为什么要留在济南？爱一个人爱一座城、在济南上学、在济南长大、还是毕业后来到济南？你觉得济南最吸引你得地方是哪里呢？
17,雷霆战机都没这么夸张#视频制作人出道计划##吸睛制作人计划#欢乐集结季的微博视频
18,#导演请指教##综艺安利#郝蕾傅首尔争执火药味浓Hello_逗图思密达的微博视频
19,【#警方通报外卖员违停下跪求情交警#：交警立即蹲下安抚 仅对其口头警告】12月8日，山东青岛，#外卖员违停被拖车下跪求情交警#引发关注。市南交警通报称，交警在依法查纠电动车交通违法时，违停电动车外卖骑手武某跪地要求“照顾”。执勤交警立即蹲下安抚武某，并与现场群众一起将其扶起，随后对其交通 ...全文
20,岳云鹏的徒弟刘筱亭人称“二哥”，岳云鹏、郭德纲也这么叫；贾静雯没定力，也没自己想法，如果可以的话，诈骗电话达到她那，她一定会被骗；老薛想吃夜宵，突发奇想，把自己买的小龟炖了王八汤；湾湾奶爸想让儿子进圈捞金，已经开始替儿子铺路了。最近的哥哥综艺让他蠢蠢欲动，也想通过节目翻红， ...全文
21,且看某人如何哄媳妇 周生如故#金牌混剪#剧综小浪的微博视频
